;;;;;;;;;;;x;;;;
PROV141;Sant Dionisi;;;;;;;;;;x;;;;
PROV145;Castelmyall;;;;;;;;;;x;;;;
PROV2186;Mejicopolis;;;;;;;;;;x;;;;
;;;;;;;;;;;x;;;;
PROV255;Derry;;;;;;;;;;x;;;;
PROV264;Kildare;;;;;;;;;;x;;;;
PROV304;Mann;;;;;;;;;;x;;;;
PROV455;Tolosa;;;;;;;;;;x;;;;
PROV456;Montalban;Montalban;Montalban;;Montalban;;;;;;;;;x;;;;
PROV457;Fois;Fois;Fois;;Fois;;;;;;;;;x;;;;
PROV458;Bordèu;;;;;;;;;;x;;;;
PROV459;Lo Mont;;;;;;;;;;x;;;;
PROV460;Pau;Pau;Pau;;Pau;;;;;;;;;x;;;;
PROV461;Montpelhièr;;;;;;;;;;x;;;;
PROV462;Rodés;;;;;;;;;;x;;;;
PROV463;Narbona;;;;;;;;;;x;;;;
PROV464;Perpinhan;;;;;;;;;;x;;;;
PROV860;Carogród;;;;;;;;;;x;;;;
